TSI,WSI,station_name,Country,TTAAii_CCCC
86246,0-20000-0-86246,AEROPUERTO INT. GUARANI,Paraguay,"ISMI00SEQU,ISMI01_SGAS,ISMX86_SBBR,ISII01_SGAS,ISMI02_SLLP,ISMI86_SBBR"
86246,0-20000-0-86246,AEROPUERTO INT. GUARANI,Paraguay,"ISII01_SGAS,ISMI01_SGAS"
86255,0-20000-0-86255,PILAR,Paraguay,"ISII01_SGAS,ISMI02_SLLP,ISMI01_SGAS,ISMX86_SBBR,ISMI86_SBBR,ISMI00SEQU"
86255,0-20000-0-86255,PILAR,Paraguay,"ISII01_SGAS,ISMI01_SGAS"
86260,0-20000-0-86260,SAN JUAN BAUTISTA,Paraguay,"ISMI01_SGAS,ISII01_SGAS"
86260,0-20000-0-86260,SAN JUAN BAUTISTA,Paraguay,"ISMI01_SGAS,ISII01_SGAS"
86268,0-20000-0-86268,CAAZAPA,Paraguay,"ISMI01_SGAS,ISMI02_SLLP,ISII01_SGAS,ISMX86_SBBR,ISMI00SEQU,ISMI86_SBBR"
86268,0-20000-0-86268,CAAZAPA,Paraguay,"ISII01_SGAS,ISMI01_SGAS"
86285,0-20000-0-86285,CAPITAN MEZA,Paraguay,"ISII01_SGAS,ISMI01_SGAS,ISMX86_SBBR,ISMI00SEQU,ISMI02_SLLP,ISMI86_SBBR"
86285,0-20000-0-86285,CAPITAN MEZA,Paraguay,"ISII01_SGAS,ISMI01_SGAS"
86285,0-20000-0-86285,CAPITAN MEZA,Paraguay,"ISII01_SGAS,ISMI01_SGAS"
86297,0-20000-0-86297,ENCARNACION,Paraguay,"ISII01_SGAS,ISMX86_SBBR,ISMI02_SLLP,ISMI01_SGAS,ISMI86_SBBR,ISMI00SEQU"
86297,0-20000-0-86297,ENCARNACION,Paraguay,"ISMI01_SGAS,ISII01_SGAS"
86565,0-20000-0-86565,ROCHA,Uruguay,ISAI01_SBBR
86607,0-20000-0-86607,PALMAS (86607-0),Brazil,ISAI01_SBBR
86616,0-20000-0-86616,ARACAJU (86616-0),Brazil,ISAI01_SBBR
86618,0-20000-0-86618,BREJO GRANDE,Brazil,ISAI01_SBBR
86625,0-20000-0-86625,JUARA,Brazil,ISAI01_SBBR
86628,0-20000-0-86628,SAO FELIX DO ARAGUAIA,Brazil,ISAI01_SBBR
86636,0-20000-0-86636,JACOBINA (86636-0),Brazil,ISAI01_SBBR
86637,0-20000-0-86637,SERRINHA (86637-0),Brazil,ISAI01_SBBR
86638,0-20000-0-86638,ITABAIANINHA (86638-0),Brazil,ISAI01_SBBR
86643,0-20000-0-86643,NOVO MUNDO,Brazil,ISAI01_SBBR
86645,0-20000-0-86645,SORRISO,Brazil,ISAI01_SBBR
86650,0-20000-0-86650,PARANA (86650-0),Brazil,ISAI01_SBBR
86651,0-20000-0-86651,LUIS EDUARDO MAGALHAES,Brazil,ISAI01_SBBR
86653,0-20000-0-86653,IBOTIRAMA,Brazil,ISAI01_SBBR
86656,0-20000-0-86656,ITABERABA (86656-0),Brazil,ISAI01_SBBR
86658,0-20000-0-86658,FEIRA DE SANTANA (86658-0),Brazil,ISAI01_SBBR
86671,0-20000-0-86671,CORRENTINA (86671-0),Brazil,ISAI01_SBBR
86678,0-20000-0-86678,SALVADOR (86678-0),Brazil,ISAI01_SBBR
86689,0-20000-0-86689,ITAPACI,Brazil,ISAI01_SBBR
86691,0-20000-0-86691,ALTO PARAISO DE GOIAS,Brazil,ISAI01_SBBR
86696,0-20000-0-86696,BRUMADO,Brazil,ISAI01_SBBR
86697,0-20000-0-86697,VITORIA DA CONQUISTA (86697-0),Brazil,ISAI01_SBBR
86707,0-20000-0-86707,CAMPO VERDE,Brazil,ISAI01_SBBR
86715,0-20000-0-86715,BRASILIA (86715-0),Brazil,ISAI01_SBBR
86735,0-20000-0-86735,SILVANIA,Brazil,ISAI01_SBBR
86738,0-20000-0-86738,UNAI (86738-0),Brazil,ISAI01_SBBR
86740,0-20000-0-86740,MONTES CLAROS (86740-0),Brazil,ISAI01_SBBR
86743,0-20000-0-86743,ALMENARA,Brazil,ISAI01_SBBR
86745,0-20000-0-86745,PORTO SEGURO,Brazil,ISAI01_SBBR
86750,0-20000-0-86750,ALTO TAQUARI,Brazil,ISAI01_SBBR
86755,0-20000-0-86755,MORRINHOS,Brazil,ISAI01_SBBR
86776,0-20000-0-86776,UBERLANDIA,Brazil,ISAI01_SBBR
86777,0-20000-0-86777,CATALAO (86777-0),Brazil,ISAI01_SBBR
86780,0-20000-0-86780,CURVELO (86780-0),Brazil,ISAI01_SBBR
86782,0-20000-0-86782,GUANHAES,Brazil,ISAI01_SBBR
86783,0-20000-0-86783,GOVERNADOR VALADARES (86783-0),Brazil,ISAI01_SBBR
86797,0-20000-0-86797,DORES DO INDAIA,Brazil,ISAI01_SBBR
86798,0-20000-0-86798,FLORESTAL (86798-0),Brazil,ISAI01_SBBR
86801,0-20000-0-86801,TIMOTEO,Brazil,ISAI01_SBBR
86804,0-20000-0-86804,SANTA TEREZA,Brazil,ISAI01_SBBR
86805,0-20000-0-86805,LINHARES (86805-0),Brazil,ISAI01_SBBR
86810,0-20000-0-86810,CAMPO GRANDE (86810-0),Brazil,ISAI01_SBBR
86812,0-20000-0-86812,AGUA CLARA,Brazil,ISAI01_SBBR
86818,0-20000-0-86818,FRANCA (86818-0),Brazil,ISAI01_SBBR
86819,0-20000-0-86819,PASSOS,Brazil,ISAI01_SBBR
86821,0-20000-0-86821,IBIRITE (ROLA MOCA),Brazil,ISAI01_SBBR
86823,0-20000-0-86823,OURO BRANCO,Brazil,ISAI01_SBBR
86829,0-20000-0-86829,ALFREDO CHAVES,Brazil,ISAI01_SBBR
86841,0-20000-0-86841,ARIRANHA,Brazil,ISAI01_SBBR
86849,0-20000-0-86849,SAO JOAO DEL-REI,Brazil,ISAI01_SBBR
86854,0-20000-0-86854,CAMBUCI,Brazil,ISAI01_SBBR
86859,0-20000-0-86859,JUTI,Brazil,ISAI01_SBBR
86860,0-20000-0-86860,IVINHEMA (86860-0),Brazil,ISAI01_SBBR
86865,0-20000-0-86865,BAURU,Brazil,ISAI01_SBBR
86866,0-20000-0-86866,OURINHOS,Brazil,ISAI01_SBBR
86874,0-20000-0-86874,RESENDE (86874-0),Brazil,ISAI01_SBBR
86877,0-20000-0-86877,XEREM,Brazil,ISAI01_SBBR
86878,0-20000-0-86878,SEROPEDICA-ECOLOGIA AGRICOLA,Brazil,ISAI01_SBBR
86887,0-20000-0-86887,RIO DE JANEIRO-FORTE DE COPACABANA,Brazil,ISAI01_SBBR
86892,0-20000-0-86892,ARRAIAL DO CABO,Brazil,ISAI01_SBBR
86897,0-20000-0-86897,ICARAIMA,Brazil,ISAI01_SBBR
86901,0-20000-0-86901,NOVA FATIMA,Brazil,ISAI01_SBBR
86905,0-20000-0-86905,ITAPEVA (86905-0),Brazil,ISAI01_SBBR
86910,0-20000-0-86910,SAO PAULO-MIRANTE DE SANTANA,Brazil,ISAI01_SBBR
86914,0-20000-0-86914,RIO DE JANEIRO-MARAMBAIA,Brazil,ISAI01_SBBR
86916,0-20000-0-86916,MARECHAL CANDIDO RONDON,Brazil,ISAI01_SBBR
86917,0-20000-0-86917,GOIOERE,Brazil,ISAI01_SBBR
86925,0-20000-0-86925,FOZ DO IGUACU,Brazil,ISAI01_SBBR
86953,0-20000-0-86953,PALMEIRA DAS MISSOES,Brazil,ISAI01_SBBR
86958,0-20000-0-86958,FLORIANOPOLIS-SAO JOSE,Brazil,ISAI01_SBBR
86961,0-20000-0-86961,SAO LUIZ GONZAGA (86961-0),Brazil,ISAI01_SBBR
86972,0-20000-0-86972,SANTA MARTA (86972-0),Brazil,ISAI01_SBBR
86976,0-20000-0-86976,SANTIAGO (86976-0),Brazil,ISAI01_SBBR
86977,0-20000-0-86977,SANTA MARIA (86977-0),Brazil,ISAI01_SBBR
86985,0-20000-0-86985,DOM PEDRITO,Brazil,ISAI01_SBBR
86989,0-20000-0-86989,CAMAQUA,Brazil,ISAI01_SBBR
